Height_level_index,Average_m_for_original_data,Average_m_for_SR_temperature,Average_m_for_SR_pressure,Average_m_for_SR_humidity,Average_m_for_SR_pressure_shift_mean
0,314.31277,357.59598,128.39845,293.40213,317.81473
1,317.8322,360.6535,133.45212,297.52136,322.5715
2,323.40793,365.5204,140.78708,303.49643,329.90652
3,330.76752,371.99615,150.29213,311.2173,339.5287
4,339.84305,380.0212,161.93764,320.66306,351.36264
5,350.6068,389.57913,175.70796,331.8283,365.3699
6,363.01636,400.61813,191.582,344.7353,381.4968
7,377.01956,413.0886,209.53207,359.39374,399.675
8,392.58548,426.96463,229.53648,375.81012,419.85254
9,409.62286,442.1693,251.5468,393.96155,441.90646
10,428.12726,458.7343,275.54773,413.85583,465.79843
11,448.07202,476.66437,301.51004,435.48578,491.45612
12,469.55118,496.1273,329.45755,458.83063,518.93835
13,492.32437,516.9105,359.25455,483.9402,547.91486
14,516.6804,539.2801,391.00784,510.65515,578.65314
15,543.24615,563.91437,425.0085,539.3522,611.86743
16,572.2613,591.0181,461.37967,570.03546,647.8641
17,603.3743,620.2263,499.94382,602.614,686.2067
18,636.579,651.5336,540.69135,637.13556,726.87195
19,671.8722,684.915,583.61725,673.66327,769.8449
20,709.35724,720.518,628.7734,712.1036,815.2603
21,748.9486,758.2464,676.1032,752.5453,862.98376
22,790.76495,798.2216,725.6816,795.03107,913.1983
23,834.9136,840.5161,777.58405,839.6173,966.0942
24,881.2466,885.02405,831.7162,886.27295,1021.4444
25,929.73456,931.7323,888.05194,934.99066,1079.1927
26,980.4091,980.6919,946.6217,985.77295,1139.4078
27,1033.2943,1031.889,1007.44867,1038.6683,1202.145
28,1088.3035,1085.2794,1070.4635,1093.6661,1267.2368
29,1145.3726,1140.8367,1135.5897,1150.7214,1334.5127
30,1204.4884,1198.5897,1202.837,1209.8512,1403.931
31,1265.7175,1258.5885,1272.2766,1271.0951,1475.6235
32,1329.0803,1320.8895,1343.9442,1334.4382,1549.6211
33,1394.583,1385.5206,1417.7739,1399.8828,1625.8071
34,1462.2217,1452.5145,1493.7047,1467.4178,1704.0251
35,1531.9916,1521.9177,1571.6373,1537.0343,1784.0164
36,1603.9745,1593.7865,1651.558,1608.8217,1865.7421
37,1678.2395,1668.1852,1733.47,1682.8551,1949.0985
38,1754.9517,1745.2026,1817.503,1759.3115,2034.2959
39,1834.3566,1824.9531,1903.9631,1838.4554,2121.9353
40,1916.6434,1907.5897,1993.0923,1920.481,2212.3804
41,2001.9613,1993.3186,2084.9836,2005.5321,2305.5479
42,2090.473,2082.414,2179.6003,2093.7563,2400.9348
43,2182.5146,2175.2334,2277.122,2185.4846,2498.4622
44,2278.6873,2272.2244,2378.2666,2281.3394,2599.2434
45,2379.6775,2373.9336,2483.9539,2382.0425,2704.7158
46,2486.2334,2481.0334,2595.229,2488.355,2816.4365
47,2599.004,2594.3538,2712.3875,2600.89,2933.8882
48,2719.0605,2714.9094,2836.6704,2720.7266,3058.6401
49,2847.5588,2843.9219,2969.0105,2849.0132,3191.176
50,2985.9849,2982.8538,3110.9077,2987.237,3333.06
51,3136.0771,3133.4343,3264.0725,3137.139,3485.9653
52,3299.8533,3297.6948,3430.3003,3300.7378,3651.3354
53,3479.7268,3478.0066,3612.1987,3480.452,3832.1445
54,3678.4446,3677.1191,3812.3286,3679.0264,4030.6533
55,3899.1868,3898.207,4033.8743,3899.6445,4250.069
56,4145.602,4144.9136,4280.4863,4145.9517,4494.095
57,4421.847,4421.399,4556.013,4422.1064,4766.043
58,4732.655,4732.3965,4865.0454,4732.841,5070.3105
59,5083.4067,5083.2734,5213.901,5083.536,5414.671
60,5480.131,5480.0835,5608.4517,5480.223,5804.7183
61,5929.658,5929.642,6056.3916,5929.7026,6249.447
62,6439.5947,6439.5728,6565.6284,6439.6304,6757.0967
63,7018.4966,7018.4985,7143.5903,7018.507,7333.2837
64,7675.9766,7675.9756,7802.1494,7675.9834,7993.2837
65,8422.544,8422.542,8550.492,8422.549,8744.066
66,9270.209,9270.208,9397.161,9270.213,9589.213
67,10231.945,10231.945,10356.295,10231.945,10544.45
68,11322.155,11322.155,11459.257,11322.155,11666.59
69,12556.956,12556.956,12722.508,12556.956,12973.003
